funcid,dim,milestone,error
27,10,1,5.643546e+02
27,10,2,5.619358e+02
27,10,3,5.563272e+02
27,10,5,5.418022e+02
27,10,10,5.269374e+02
27,10,20,5.038220e+02
27,10,30,5.007975e+02
27,10,40,4.991893e+02
27,10,50,4.949601e+02
27,10,60,4.927520e+02
27,10,70,4.812925e+02
27,10,80,4.808680e+02
27,10,90,4.612101e+02
27,10,100,4.453444e+02
27,10,1,5.643546e+02
27,10,2,5.619358e+02
27,10,3,5.563272e+02
27,10,5,5.418022e+02
27,10,10,5.269374e+02
27,10,20,5.038220e+02
27,10,30,5.007975e+02
27,10,40,4.991893e+02
27,10,50,4.949601e+02
27,10,60,4.927520e+02
27,10,70,4.812925e+02
27,10,80,4.808680e+02
27,10,90,4.612101e+02
27,10,100,4.453444e+02
27,10,1,5.643546e+02
27,10,2,5.619358e+02
27,10,3,5.563272e+02
27,10,5,5.418022e+02
27,10,10,5.269374e+02
27,10,20,5.038220e+02
27,10,30,5.007975e+02
27,10,40,4.991893e+02
27,10,50,4.949601e+02
27,10,60,4.927520e+02
27,10,70,4.812925e+02
27,10,80,4.808680e+02
27,10,90,4.612101e+02
27,10,100,4.453444e+02
27,10,1,5.643546e+02
27,10,2,5.619358e+02
27,10,3,5.563272e+02
27,10,5,5.418022e+02
27,10,10,5.269374e+02
27,10,20,5.038220e+02
27,10,30,5.007975e+02
27,10,40,4.991893e+02
27,10,50,4.949601e+02
27,10,60,4.927520e+02
27,10,70,4.812925e+02
27,10,80,4.808680e+02
27,10,90,4.612101e+02
27,10,100,4.453444e+02
27,10,1,5.643546e+02
27,10,2,5.619358e+02
27,10,3,5.563272e+02
27,10,5,5.418022e+02
27,10,10,5.269374e+02
27,10,20,5.038220e+02
27,10,30,5.007975e+02
27,10,40,4.991893e+02
27,10,50,4.949601e+02
27,10,60,4.927520e+02
27,10,70,4.812925e+02
27,10,80,4.808680e+02
27,10,90,4.612101e+02
27,10,100,4.453444e+02
27,10,1,5.643546e+02
27,10,2,5.619358e+02
27,10,3,5.563272e+02
27,10,5,5.418022e+02
27,10,10,5.269374e+02
27,10,20,5.038220e+02
27,10,30,5.007975e+02
27,10,40,4.991893e+02
27,10,50,4.949601e+02
27,10,60,4.927520e+02
27,10,70,4.812925e+02
27,10,80,4.808680e+02
27,10,90,4.612101e+02
27,10,100,4.453444e+02
27,10,1,5.643546e+02
27,10,2,5.619358e+02
27,10,3,5.563272e+02
27,10,5,5.418022e+02
27,10,10,5.269374e+02
27,10,20,5.038220e+02
27,10,30,5.007975e+02
27,10,40,4.991893e+02
27,10,50,4.949601e+02
27,10,60,4.927520e+02
27,10,70,4.812925e+02
27,10,80,4.808680e+02
27,10,90,4.612101e+02
27,10,100,4.453444e+02
27,10,1,5.643546e+02
27,10,2,5.619358e+02
27,10,3,5.563272e+02
27,10,5,5.418022e+02
27,10,10,5.269374e+02
27,10,20,5.038220e+02
27,10,30,5.007975e+02
27,10,40,4.991893e+02
27,10,50,4.949601e+02
27,10,60,4.927520e+02
27,10,70,4.812925e+02
27,10,80,4.808680e+02
27,10,90,4.612101e+02
27,10,100,4.453444e+02
27,10,1,5.643546e+02
27,10,2,5.619358e+02
27,10,3,5.563272e+02
27,10,5,5.418022e+02
27,10,10,5.269374e+02
27,10,20,5.038220e+02
27,10,30,5.007975e+02
27,10,40,4.991893e+02
27,10,50,4.949601e+02
27,10,60,4.927520e+02
27,10,70,4.812925e+02
27,10,80,4.808680e+02
27,10,90,4.612101e+02
27,10,100,4.453444e+02
27,10,1,5.643546e+02
27,10,2,5.619358e+02
27,10,3,5.563272e+02
27,10,5,5.418022e+02
27,10,10,5.269374e+02
27,10,20,5.038220e+02
27,10,30,5.007975e+02
27,10,40,4.991893e+02
27,10,50,4.949601e+02
27,10,60,4.927520e+02
27,10,70,4.812925e+02
27,10,80,4.808680e+02
27,10,90,4.612101e+02
27,10,100,4.453444e+02
27,10,1,5.643546e+02
27,10,2,5.619358e+02
27,10,3,5.568370e+02
27,10,5,5.345598e+02
27,10,10,5.193027e+02
27,10,20,5.079349e+02
27,10,30,5.020483e+02
27,10,40,4.979910e+02
27,10,50,4.936100e+02
27,10,60,4.886994e+02
27,10,70,4.878759e+02
27,10,80,4.878225e+02
27,10,90,4.877958e+02
27,10,100,4.741182e+02
27,10,1,5.643546e+02
27,10,2,5.619358e+02
27,10,3,5.568370e+02
27,10,5,5.345598e+02
27,10,10,5.193027e+02
27,10,20,5.079349e+02
27,10,30,5.020483e+02
27,10,40,4.979910e+02
27,10,50,4.936100e+02
27,10,60,4.886994e+02
27,10,70,4.878759e+02
27,10,80,4.878225e+02
27,10,90,4.877958e+02
27,10,100,4.741182e+02
27,10,1,5.643546e+02
27,10,2,5.619358e+02
27,10,3,5.568370e+02
27,10,5,5.345598e+02
27,10,10,5.193027e+02
27,10,20,5.079349e+02
27,10,30,5.020483e+02
27,10,40,4.979910e+02
27,10,50,4.936100e+02
27,10,60,4.886994e+02
27,10,70,4.878759e+02
27,10,80,4.878225e+02
27,10,90,4.877958e+02
27,10,100,4.741182e+02
27,10,1,5.643546e+02
27,10,2,5.619358e+02
27,10,3,5.568370e+02
27,10,5,5.345598e+02
27,10,10,5.193027e+02
27,10,20,5.079349e+02
27,10,30,5.020483e+02
27,10,40,4.979910e+02
27,10,50,4.936100e+02
27,10,60,4.886994e+02
27,10,70,4.878759e+02
27,10,80,4.878225e+02
27,10,90,4.877958e+02
27,10,100,4.741182e+02
27,10,1,5.643546e+02
27,10,2,5.619358e+02
27,10,3,5.568370e+02
27,10,5,5.345598e+02
27,10,10,5.193027e+02
27,10,20,5.079349e+02
27,10,30,5.020483e+02
27,10,40,4.979910e+02
27,10,50,4.936100e+02
27,10,60,4.886994e+02
27,10,70,4.878759e+02
27,10,80,4.878225e+02
27,10,90,4.877958e+02
27,10,100,4.741182e+02
27,10,1,5.643546e+02
27,10,2,5.619358e+02
27,10,3,5.568370e+02
27,10,5,5.345598e+02
27,10,10,5.193027e+02
27,10,20,5.079349e+02
27,10,30,5.020483e+02
27,10,40,4.979910e+02
27,10,50,4.936100e+02
27,10,60,4.886994e+02
27,10,70,4.878759e+02
27,10,80,4.878225e+02
27,10,90,4.877958e+02
27,10,100,4.741182e+02
27,10,1,5.643546e+02
27,10,2,5.619358e+02
27,10,3,5.568370e+02
27,10,5,5.345598e+02
27,10,10,5.193027e+02
27,10,20,5.079349e+02
27,10,30,5.020483e+02
27,10,40,4.979910e+02
27,10,50,4.936100e+02
27,10,60,4.886994e+02
27,10,70,4.878759e+02
27,10,80,4.878225e+02
27,10,90,4.877958e+02
27,10,100,4.741182e+02
27,10,1,5.643546e+02
27,10,2,5.619358e+02
27,10,3,5.568370e+02
27,10,5,5.345598e+02
27,10,10,5.193027e+02
27,10,20,5.079349e+02
27,10,30,5.020483e+02
27,10,40,4.979910e+02
27,10,50,4.936100e+02
27,10,60,4.886994e+02
27,10,70,4.878759e+02
27,10,80,4.878225e+02
27,10,90,4.877958e+02
27,10,100,4.741182e+02
27,10,1,5.643546e+02
27,10,2,5.619358e+02
27,10,3,5.568370e+02
27,10,5,5.345598e+02
27,10,10,5.193027e+02
27,10,20,5.079349e+02
27,10,30,5.020483e+02
27,10,40,4.979910e+02
27,10,50,4.936100e+02
27,10,60,4.886994e+02
27,10,70,4.878759e+02
27,10,80,4.878225e+02
27,10,90,4.877958e+02
27,10,100,4.741182e+02
27,10,1,5.643546e+02
27,10,2,5.619358e+02
27,10,3,5.568370e+02
27,10,5,5.345598e+02
27,10,10,5.193027e+02
27,10,20,5.079349e+02
27,10,30,5.020483e+02
27,10,40,4.979910e+02
27,10,50,4.936100e+02
27,10,60,4.886994e+02
27,10,70,4.878759e+02
27,10,80,4.878225e+02
27,10,90,4.877958e+02
27,10,100,4.741182e+02
27,10,1,5.643546e+02
27,10,2,5.619358e+02
27,10,3,5.568370e+02
27,10,5,5.345598e+02
27,10,10,5.193027e+02
27,10,20,5.079349e+02
27,10,30,5.020483e+02
27,10,40,4.979910e+02
27,10,50,4.936100e+02
27,10,60,4.886994e+02
27,10,70,4.878759e+02
27,10,80,4.878225e+02
27,10,90,4.877958e+02
27,10,100,4.741182e+02
27,10,1,5.643546e+02
27,10,2,5.619358e+02
27,10,3,5.568370e+02
27,10,5,5.345598e+02
27,10,10,5.193027e+02
27,10,20,5.079349e+02
27,10,30,5.020483e+02
27,10,40,4.979910e+02
27,10,50,4.936100e+02
27,10,60,4.886994e+02
27,10,70,4.878759e+02
27,10,80,4.878225e+02
27,10,90,4.877958e+02
27,10,100,4.741182e+02
27,10,1,5.643546e+02
27,10,2,5.619358e+02
27,10,3,5.568370e+02
27,10,5,5.345598e+02
27,10,10,5.193027e+02
27,10,20,5.079349e+02
27,10,30,5.020483e+02
27,10,40,4.979910e+02
27,10,50,4.936100e+02
27,10,60,4.886994e+02
27,10,70,4.878759e+02
27,10,80,4.878225e+02
27,10,90,4.877958e+02
27,10,100,4.741182e+02
27,10,1,5.643546e+02
27,10,2,5.619358e+02
27,10,3,5.568370e+02
27,10,5,5.345598e+02
27,10,10,5.193027e+02
27,10,20,5.079349e+02
27,10,30,5.020483e+02
27,10,40,4.979910e+02
27,10,50,4.936100e+02
27,10,60,4.886994e+02
27,10,70,4.878759e+02
27,10,80,4.878225e+02
27,10,90,4.877958e+02
27,10,100,4.741182e+02
27,10,1,5.643546e+02
27,10,2,5.619358e+02
27,10,3,5.568370e+02
27,10,5,5.345598e+02
27,10,10,5.193027e+02
27,10,20,5.079349e+02
27,10,30,5.020483e+02
27,10,40,4.979910e+02
27,10,50,4.936100e+02
27,10,60,4.886994e+02
27,10,70,4.878759e+02
27,10,80,4.878225e+02
27,10,90,4.877958e+02
27,10,100,4.741182e+02
27,10,1,5.643546e+02
27,10,2,5.619358e+02
27,10,3,5.568370e+02
27,10,5,5.345598e+02
27,10,10,5.193027e+02
27,10,20,5.079349e+02
27,10,30,5.020483e+02
27,10,40,4.979910e+02
27,10,50,4.936100e+02
27,10,60,4.886994e+02
27,10,70,4.878759e+02
27,10,80,4.878225e+02
27,10,90,4.877958e+02
27,10,100,4.741182e+02
27,10,1,5.643546e+02
27,10,2,5.619358e+02
27,10,3,5.568370e+02
27,10,5,5.345598e+02
27,10,10,5.193027e+02
27,10,20,5.079349e+02
27,10,30,5.020483e+02
27,10,40,4.979910e+02
27,10,50,4.936100e+02
27,10,60,4.886994e+02
27,10,70,4.878759e+02
27,10,80,4.878225e+02
27,10,90,4.877958e+02
27,10,100,4.741182e+02
27,10,1,5.643546e+02
27,10,2,5.619358e+02
27,10,3,5.568370e+02
27,10,5,5.345598e+02
27,10,10,5.193027e+02
27,10,20,5.079349e+02
27,10,30,5.020483e+02
27,10,40,4.979910e+02
27,10,50,4.936100e+02
27,10,60,4.886994e+02
27,10,70,4.878759e+02
27,10,80,4.878225e+02
27,10,90,4.877958e+02
27,10,100,4.741182e+02
