funcid,dim,milestone,error
6,30,1,9.857733e+01
6,30,2,9.524856e+01
6,30,3,8.985549e+01
6,30,5,8.709783e+01
6,30,10,8.566567e+01
6,30,20,8.395907e+01
6,30,30,8.268244e+01
6,30,40,8.172799e+01
6,30,50,8.076726e+01
6,30,60,8.000498e+01
6,30,70,7.930601e+01
6,30,80,7.857437e+01
6,30,90,7.790870e+01
6,30,100,7.710459e+01
6,30,1,9.857733e+01
6,30,2,9.524856e+01
6,30,3,8.985549e+01
6,30,5,8.709783e+01
6,30,10,8.566567e+01
6,30,20,8.395907e+01
6,30,30,8.268244e+01
6,30,40,8.172799e+01
6,30,50,8.076726e+01
6,30,60,8.000498e+01
6,30,70,7.930601e+01
6,30,80,7.857437e+01
6,30,90,7.790870e+01
6,30,100,7.710459e+01
6,30,1,9.857733e+01
6,30,2,9.524856e+01
6,30,3,8.985549e+01
6,30,5,8.709783e+01
6,30,10,8.566567e+01
6,30,20,8.395907e+01
6,30,30,8.268244e+01
6,30,40,8.172799e+01
6,30,50,8.076726e+01
6,30,60,8.000498e+01
6,30,70,7.930601e+01
6,30,80,7.857437e+01
6,30,90,7.790870e+01
6,30,100,7.710459e+01
6,30,1,9.857733e+01
6,30,2,9.524856e+01
6,30,3,8.985549e+01
6,30,5,8.709783e+01
6,30,10,8.566567e+01
6,30,20,8.395907e+01
6,30,30,8.268244e+01
6,30,40,8.172799e+01
6,30,50,8.076726e+01
6,30,60,8.000498e+01
6,30,70,7.930601e+01
6,30,80,7.857437e+01
6,30,90,7.790870e+01
6,30,100,7.710459e+01
6,30,1,9.857733e+01
6,30,2,9.524856e+01
6,30,3,8.985549e+01
6,30,5,8.709783e+01
6,30,10,8.566567e+01
6,30,20,8.395907e+01
6,30,30,8.268244e+01
6,30,40,8.172799e+01
6,30,50,8.076726e+01
6,30,60,8.000498e+01
6,30,70,7.930601e+01
6,30,80,7.857437e+01
6,30,90,7.790870e+01
6,30,100,7.710459e+01
6,30,1,9.857733e+01
6,30,2,9.524856e+01
6,30,3,8.985549e+01
6,30,5,8.709783e+01
6,30,10,8.566567e+01
6,30,20,8.395907e+01
6,30,30,8.268244e+01
6,30,40,8.172799e+01
6,30,50,8.076726e+01
6,30,60,8.000498e+01
6,30,70,7.930601e+01
6,30,80,7.857437e+01
6,30,90,7.790870e+01
6,30,100,7.710459e+01
6,30,1,9.857733e+01
6,30,2,9.524856e+01
6,30,3,8.985549e+01
6,30,5,8.709783e+01
6,30,10,8.566567e+01
6,30,20,8.395907e+01
6,30,30,8.268244e+01
6,30,40,8.172799e+01
6,30,50,8.076726e+01
6,30,60,8.000498e+01
6,30,70,7.930601e+01
6,30,80,7.857437e+01
6,30,90,7.790870e+01
6,30,100,7.710459e+01
