funcid,dim,milestone,error
21,30,1,5.654805e+02
21,30,2,5.293046e+02
21,30,3,4.983095e+02
21,30,5,4.802135e+02
21,30,10,4.678708e+02
21,30,20,4.525952e+02
21,30,30,4.521827e+02
21,30,40,4.256287e+02
21,30,50,4.126567e+02
21,30,60,3.901083e+02
21,30,70,3.892687e+02
21,30,80,3.770285e+02
21,30,90,3.769367e+02
21,30,100,3.768676e+02
21,30,1,5.654805e+02
21,30,2,5.293046e+02
21,30,3,4.983095e+02
21,30,5,4.802135e+02
21,30,10,4.678708e+02
21,30,20,4.525952e+02
21,30,30,4.521827e+02
21,30,40,4.256287e+02
21,30,50,4.126567e+02
21,30,60,3.901083e+02
21,30,70,3.892687e+02
21,30,80,3.770285e+02
21,30,90,3.769367e+02
21,30,100,3.768676e+02
21,30,1,5.654805e+02
21,30,2,5.293046e+02
21,30,3,4.983095e+02
21,30,5,4.802135e+02
21,30,10,4.678708e+02
21,30,20,4.525952e+02
21,30,30,4.521827e+02
21,30,40,4.256287e+02
21,30,50,4.126567e+02
21,30,60,3.901083e+02
21,30,70,3.892687e+02
21,30,80,3.770285e+02
21,30,90,3.769367e+02
21,30,100,3.768676e+02
21,30,1,5.654805e+02
21,30,2,5.293046e+02
21,30,3,4.983095e+02
21,30,5,4.802135e+02
21,30,10,4.678708e+02
21,30,20,4.525952e+02
21,30,30,4.521827e+02
21,30,40,4.256287e+02
21,30,50,4.126567e+02
21,30,60,3.901083e+02
21,30,70,3.892687e+02
21,30,80,3.770285e+02
21,30,90,3.769367e+02
21,30,100,3.768676e+02
21,30,1,5.654805e+02
21,30,2,5.293046e+02
21,30,3,4.983095e+02
21,30,5,4.802135e+02
21,30,10,4.678708e+02
21,30,20,4.525952e+02
21,30,30,4.521827e+02
21,30,40,4.256287e+02
21,30,50,4.126567e+02
21,30,60,3.901083e+02
21,30,70,3.892687e+02
21,30,80,3.770285e+02
21,30,90,3.769367e+02
21,30,100,3.768676e+02
21,30,1,5.654805e+02
21,30,2,5.293046e+02
21,30,3,4.983095e+02
21,30,5,4.802135e+02
21,30,10,4.678708e+02
21,30,20,4.525952e+02
21,30,30,4.521827e+02
21,30,40,4.256287e+02
21,30,50,4.126567e+02
21,30,60,3.901083e+02
21,30,70,3.892687e+02
21,30,80,3.770285e+02
21,30,90,3.769367e+02
21,30,100,3.768676e+02
