funcid,dim,milestone,error
25,30,1,2.107774e+03
25,30,2,1.186325e+03
25,30,3,8.866185e+02
25,30,5,7.140830e+02
25,30,10,5.351262e+02
25,30,20,4.590752e+02
25,30,30,4.223021e+02
25,30,40,3.855859e+02
25,30,50,3.851761e+02
25,30,60,3.851735e+02
25,30,70,3.849730e+02
25,30,80,3.849723e+02
25,30,90,3.847468e+02
25,30,1,2.107774e+03
25,30,2,1.186325e+03
25,30,3,8.866185e+02
25,30,5,7.140830e+02
25,30,10,5.351262e+02
25,30,20,4.590752e+02
25,30,30,4.223021e+02
25,30,40,3.855859e+02
25,30,50,3.851761e+02
25,30,60,3.851735e+02
25,30,70,3.849730e+02
25,30,80,3.849723e+02
25,30,90,3.847468e+02
25,30,1,2.107774e+03
25,30,2,1.186325e+03
25,30,3,8.866185e+02
25,30,5,7.140830e+02
25,30,10,5.351262e+02
25,30,20,4.590752e+02
25,30,30,4.223021e+02
25,30,40,3.855859e+02
25,30,50,3.851761e+02
25,30,60,3.851735e+02
25,30,70,3.849730e+02
25,30,80,3.849723e+02
25,30,90,3.847468e+02
25,30,1,2.107774e+03
25,30,2,1.186325e+03
25,30,3,8.866185e+02
25,30,5,7.140830e+02
25,30,10,5.351262e+02
25,30,20,4.590752e+02
25,30,30,4.223021e+02
25,30,40,3.855859e+02
25,30,50,3.851761e+02
25,30,60,3.851735e+02
25,30,70,3.849730e+02
25,30,80,3.849723e+02
25,30,90,3.847468e+02
25,30,1,2.107774e+03
25,30,2,1.186325e+03
25,30,3,8.866185e+02
25,30,5,7.140830e+02
25,30,10,5.351262e+02
25,30,20,4.590752e+02
25,30,30,4.223021e+02
25,30,40,3.855859e+02
25,30,50,3.851761e+02
25,30,60,3.851735e+02
25,30,70,3.849730e+02
25,30,80,3.849723e+02
25,30,90,3.847468e+02
25,30,1,2.107774e+03
25,30,2,1.186325e+03
25,30,3,8.866185e+02
25,30,5,7.140830e+02
25,30,10,5.351262e+02
25,30,20,4.590752e+02
25,30,30,4.223021e+02
25,30,40,3.855859e+02
25,30,50,3.851761e+02
25,30,60,3.851735e+02
25,30,70,3.849730e+02
25,30,80,3.849723e+02
25,30,90,3.847468e+02
25,30,1,2.107774e+03
25,30,2,1.186325e+03
25,30,3,8.866185e+02
25,30,5,7.140830e+02
25,30,10,5.351262e+02
25,30,20,4.590752e+02
25,30,30,4.223021e+02
25,30,40,3.855859e+02
25,30,50,3.851761e+02
25,30,60,3.851735e+02
25,30,70,3.849730e+02
25,30,80,3.849723e+02
25,30,90,3.847468e+02
