funcid,dim,milestone,error
7,10,1,4.685021e+02
7,10,2,4.685021e+02
7,10,3,4.515591e+02
7,10,5,4.371068e+02
7,10,10,4.342865e+02
7,10,20,4.340624e+02
7,10,30,4.340617e+02
7,10,40,4.340616e+02
7,10,50,4.340616e+02
7,10,60,4.340616e+02
7,10,70,4.340616e+02
7,10,80,4.340616e+02
7,10,90,4.340616e+02
7,10,100,4.340616e+02
7,10,1,4.685021e+02
7,10,2,4.685021e+02
7,10,3,4.515591e+02
7,10,5,4.371068e+02
7,10,10,4.342865e+02
7,10,20,4.340624e+02
7,10,30,4.340617e+02
7,10,40,4.340616e+02
7,10,50,4.340616e+02
7,10,60,4.340616e+02
7,10,70,4.340616e+02
7,10,80,4.340616e+02
7,10,90,4.340616e+02
7,10,100,4.340616e+02
7,10,1,4.685021e+02
7,10,2,4.685021e+02
7,10,3,4.515591e+02
7,10,5,4.371068e+02
7,10,10,4.342865e+02
7,10,20,4.340624e+02
7,10,30,4.340617e+02
7,10,40,4.340616e+02
7,10,50,4.340616e+02
7,10,60,4.340616e+02
7,10,70,4.340616e+02
7,10,80,4.340616e+02
7,10,90,4.340616e+02
7,10,100,4.340616e+02
7,10,1,4.685021e+02
7,10,2,4.685021e+02
7,10,3,4.515591e+02
7,10,5,4.371068e+02
7,10,10,4.342865e+02
7,10,20,4.340624e+02
7,10,30,4.340617e+02
7,10,40,4.340616e+02
7,10,50,4.340616e+02
7,10,60,4.340616e+02
7,10,70,4.340616e+02
7,10,80,4.340616e+02
7,10,90,4.340616e+02
7,10,100,4.340616e+02
7,10,1,4.685021e+02
7,10,2,4.685021e+02
7,10,3,4.515591e+02
7,10,5,4.371068e+02
7,10,10,4.342865e+02
7,10,20,4.340624e+02
7,10,30,4.340617e+02
7,10,40,4.340616e+02
7,10,50,4.340616e+02
7,10,60,4.340616e+02
7,10,70,4.340616e+02
7,10,80,4.340616e+02
7,10,90,4.340616e+02
7,10,100,4.340616e+02
