funcid,dim,milestone,error
15,30,1,3.382329e+07
15,30,2,3.226347e+05
15,30,3,5.269854e+04
15,30,5,2.527571e+04
15,30,10,1.346977e+04
15,30,20,1.346952e+04
15,30,30,4.924703e+03
15,30,40,1.992924e+03
15,30,50,1.992862e+03
15,30,60,1.983034e+03
15,30,70,1.894328e+03
15,30,80,1.677330e+03
15,30,90,1.509551e+03
15,30,100,1.509545e+03
15,30,1,3.382329e+07
15,30,2,3.226347e+05
15,30,3,5.269854e+04
15,30,5,2.527571e+04
15,30,10,1.346977e+04
15,30,20,1.346952e+04
15,30,30,4.924703e+03
15,30,40,1.992924e+03
15,30,50,1.992862e+03
15,30,60,1.983034e+03
15,30,70,1.894328e+03
15,30,80,1.677330e+03
15,30,90,1.509551e+03
15,30,100,1.509545e+03
15,30,1,3.382329e+07
15,30,2,3.226347e+05
15,30,3,5.269854e+04
15,30,5,2.527571e+04
15,30,10,1.346977e+04
15,30,20,1.346952e+04
15,30,30,4.924703e+03
15,30,40,1.992924e+03
15,30,50,1.992862e+03
15,30,60,1.983034e+03
15,30,70,1.894328e+03
15,30,80,1.677330e+03
15,30,90,1.509551e+03
15,30,100,1.509545e+03
15,30,1,3.382329e+07
15,30,2,3.226347e+05
15,30,3,5.269854e+04
15,30,5,2.527571e+04
15,30,10,1.346977e+04
15,30,20,1.346952e+04
15,30,30,4.924703e+03
15,30,40,1.992924e+03
15,30,50,1.992862e+03
15,30,60,1.983034e+03
15,30,70,1.894328e+03
15,30,80,1.677330e+03
15,30,90,1.509551e+03
15,30,100,1.509545e+03
15,30,1,3.382329e+07
15,30,2,3.226347e+05
15,30,3,5.269854e+04
15,30,5,2.527571e+04
15,30,10,1.346977e+04
15,30,20,1.346952e+04
15,30,30,4.924703e+03
15,30,40,1.992924e+03
15,30,50,1.992862e+03
15,30,60,1.983034e+03
15,30,70,1.894328e+03
15,30,80,1.677330e+03
15,30,90,1.509551e+03
15,30,100,1.509545e+03
15,30,1,3.382329e+07
15,30,2,3.226347e+05
15,30,3,5.269854e+04
15,30,5,2.527571e+04
15,30,10,1.346977e+04
15,30,20,1.346952e+04
15,30,30,4.924703e+03
15,30,40,1.992924e+03
15,30,50,1.992862e+03
15,30,60,1.983034e+03
15,30,70,1.894328e+03
15,30,80,1.677330e+03
15,30,90,1.509551e+03
15,30,100,1.509545e+03
15,30,1,3.382329e+07
15,30,2,3.226347e+05
15,30,3,5.269854e+04
15,30,5,2.527571e+04
15,30,10,1.346977e+04
15,30,20,1.346952e+04
15,30,30,4.924703e+03
15,30,40,1.992924e+03
15,30,50,1.992862e+03
15,30,60,1.983034e+03
15,30,70,1.894328e+03
15,30,80,1.677330e+03
15,30,90,1.509551e+03
15,30,100,1.509545e+03
15,30,1,3.382329e+07
15,30,2,3.226347e+05
15,30,3,5.269854e+04
15,30,5,2.527571e+04
15,30,10,1.346977e+04
15,30,20,1.346952e+04
15,30,30,4.924703e+03
15,30,40,1.992924e+03
15,30,50,1.992862e+03
15,30,60,1.983034e+03
15,30,70,1.894328e+03
15,30,80,1.677330e+03
15,30,90,1.509551e+03
15,30,100,1.509545e+03
15,30,1,3.382329e+07
15,30,2,3.226347e+05
15,30,3,5.269854e+04
15,30,5,2.527571e+04
15,30,10,1.346977e+04
15,30,20,1.346952e+04
15,30,30,4.924703e+03
15,30,40,1.992924e+03
15,30,50,1.992862e+03
15,30,60,1.983034e+03
15,30,70,1.894328e+03
15,30,80,1.677330e+03
15,30,90,1.509551e+03
15,30,100,1.509545e+03
15,30,1,3.382329e+07
15,30,2,3.226347e+05
15,30,3,5.269854e+04
15,30,5,2.527571e+04
15,30,10,1.346977e+04
15,30,20,1.346952e+04
15,30,30,4.924703e+03
15,30,40,1.992924e+03
15,30,50,1.992862e+03
15,30,60,1.983034e+03
15,30,70,1.894328e+03
15,30,80,1.677330e+03
15,30,90,1.509551e+03
15,30,100,1.509545e+03
15,30,1,2.511117e+07
15,30,2,1.177806e+06
15,30,3,9.176903e+04
15,30,5,1.912657e+04
15,30,10,1.472864e+04
15,30,20,1.471719e+04
15,30,30,1.471698e+04
15,30,40,8.305603e+03
15,30,50,4.179710e+03
15,30,60,3.396277e+03
15,30,70,3.290480e+03
15,30,80,2.217281e+03
15,30,90,2.047890e+03
15,30,100,2.017719e+03
15,30,1,2.511117e+07
15,30,2,1.177806e+06
15,30,3,9.176903e+04
15,30,5,1.912657e+04
15,30,10,1.472864e+04
15,30,20,1.471719e+04
15,30,30,1.471698e+04
15,30,40,8.305603e+03
15,30,50,4.179710e+03
15,30,60,3.396277e+03
15,30,70,3.290480e+03
15,30,80,2.217281e+03
15,30,90,2.047890e+03
15,30,100,2.017719e+03
15,30,1,2.511117e+07
15,30,2,1.177806e+06
15,30,3,9.176903e+04
15,30,5,1.912657e+04
15,30,10,1.472864e+04
15,30,20,1.471719e+04
15,30,30,1.471698e+04
15,30,40,8.305603e+03
15,30,50,4.179710e+03
15,30,60,3.396277e+03
15,30,70,3.290480e+03
15,30,80,2.217281e+03
15,30,90,2.047890e+03
15,30,100,2.017719e+03
15,30,1,2.511117e+07
15,30,2,1.177806e+06
15,30,3,9.176903e+04
15,30,5,1.912657e+04
15,30,10,1.472864e+04
15,30,20,1.471719e+04
15,30,30,1.471698e+04
15,30,40,8.305603e+03
15,30,50,4.179710e+03
15,30,60,3.396277e+03
15,30,70,3.290480e+03
15,30,80,2.217281e+03
15,30,90,2.047890e+03
15,30,100,2.017719e+03
15,30,1,2.511117e+07
15,30,2,1.177806e+06
15,30,3,9.176903e+04
15,30,5,1.912657e+04
15,30,10,1.472864e+04
15,30,20,1.471719e+04
15,30,30,1.471698e+04
15,30,40,8.305603e+03
15,30,50,4.179710e+03
15,30,60,3.396277e+03
15,30,70,3.290480e+03
15,30,80,2.217281e+03
15,30,90,2.047890e+03
15,30,100,2.017719e+03
15,30,1,2.511117e+07
15,30,2,1.177806e+06
15,30,3,9.176903e+04
15,30,5,1.912657e+04
15,30,10,1.472864e+04
15,30,20,1.471719e+04
15,30,30,1.471698e+04
15,30,40,8.305603e+03
15,30,50,4.179710e+03
15,30,60,3.396277e+03
15,30,70,3.290480e+03
15,30,80,2.217281e+03
15,30,90,2.047890e+03
15,30,100,2.017719e+03
15,30,1,2.511117e+07
15,30,2,1.177806e+06
15,30,3,9.176903e+04
15,30,5,1.912657e+04
15,30,10,1.472864e+04
15,30,20,1.471719e+04
15,30,30,1.471698e+04
15,30,40,8.305603e+03
15,30,50,4.179710e+03
15,30,60,3.396277e+03
15,30,70,3.290480e+03
15,30,80,2.217281e+03
15,30,90,2.047890e+03
15,30,100,2.017719e+03
15,30,1,2.511117e+07
15,30,2,1.177806e+06
15,30,3,9.176903e+04
15,30,5,1.912657e+04
15,30,10,1.472864e+04
15,30,20,1.471719e+04
15,30,30,1.471698e+04
15,30,40,8.305603e+03
15,30,50,4.179710e+03
15,30,60,3.396277e+03
15,30,70,3.290480e+03
15,30,80,2.217281e+03
15,30,90,2.047890e+03
15,30,100,2.017719e+03
15,30,1,2.511117e+07
15,30,2,1.177806e+06
15,30,3,9.176903e+04
15,30,5,1.912657e+04
15,30,10,1.472864e+04
15,30,20,1.471719e+04
15,30,30,1.471698e+04
15,30,40,8.305603e+03
15,30,50,4.179710e+03
15,30,60,3.396277e+03
15,30,70,3.290480e+03
15,30,80,2.217281e+03
15,30,90,2.047890e+03
15,30,100,2.017719e+03
15,30,1,2.511117e+07
15,30,2,1.177806e+06
15,30,3,9.176903e+04
15,30,5,1.912657e+04
15,30,10,1.472864e+04
15,30,20,1.471719e+04
15,30,30,1.471698e+04
15,30,40,8.305603e+03
15,30,50,4.179710e+03
15,30,60,3.396277e+03
15,30,70,3.290480e+03
15,30,80,2.217281e+03
15,30,90,2.047890e+03
15,30,100,2.017719e+03
15,30,1,2.511117e+07
15,30,2,1.177806e+06
15,30,3,9.176903e+04
15,30,5,1.912657e+04
15,30,10,1.472864e+04
15,30,20,1.471719e+04
15,30,30,1.471698e+04
15,30,40,8.305603e+03
15,30,50,4.179710e+03
15,30,60,3.396277e+03
15,30,70,3.290480e+03
15,30,80,2.217281e+03
15,30,90,2.047890e+03
15,30,100,2.017719e+03
15,30,1,2.511117e+07
15,30,2,1.177806e+06
15,30,3,9.176903e+04
15,30,5,1.912657e+04
15,30,10,1.472864e+04
15,30,20,1.471719e+04
15,30,30,1.471698e+04
15,30,40,8.305603e+03
15,30,50,4.179710e+03
15,30,60,3.396277e+03
15,30,70,3.290480e+03
15,30,80,2.217281e+03
15,30,90,2.047890e+03
15,30,100,2.017719e+03
15,30,1,2.511117e+07
15,30,2,1.177806e+06
15,30,3,9.176903e+04
15,30,5,1.912657e+04
15,30,10,1.472864e+04
15,30,20,1.471719e+04
15,30,30,1.471698e+04
15,30,40,8.305603e+03
15,30,50,4.179710e+03
15,30,60,3.396277e+03
15,30,70,3.290480e+03
15,30,80,2.217281e+03
15,30,90,2.047890e+03
15,30,100,2.017719e+03
15,30,1,2.511117e+07
15,30,2,1.177806e+06
15,30,3,9.176903e+04
15,30,5,1.912657e+04
15,30,10,1.472864e+04
15,30,20,1.471719e+04
15,30,30,1.471698e+04
15,30,40,8.305603e+03
15,30,50,4.179710e+03
15,30,60,3.396277e+03
15,30,70,3.290480e+03
15,30,80,2.217281e+03
15,30,90,2.047890e+03
15,30,100,2.017719e+03
15,30,1,2.511117e+07
15,30,2,1.177806e+06
15,30,3,9.176903e+04
15,30,5,1.912657e+04
15,30,10,1.472864e+04
15,30,20,1.471719e+04
15,30,30,1.471698e+04
15,30,40,8.305603e+03
15,30,50,4.179710e+03
15,30,60,3.396277e+03
15,30,70,3.290480e+03
15,30,80,2.217281e+03
15,30,90,2.047890e+03
15,30,100,2.017719e+03
15,30,1,2.511117e+07
15,30,2,1.177806e+06
15,30,3,9.176903e+04
15,30,5,1.912657e+04
15,30,10,1.472864e+04
15,30,20,1.471719e+04
15,30,30,1.471698e+04
15,30,40,8.305603e+03
15,30,50,4.179710e+03
15,30,60,3.396277e+03
15,30,70,3.290480e+03
15,30,80,2.217281e+03
15,30,90,2.047890e+03
15,30,100,2.017719e+03
15,30,1,2.511117e+07
15,30,2,1.177806e+06
15,30,3,9.176903e+04
15,30,5,1.912657e+04
15,30,10,1.472864e+04
15,30,20,1.471719e+04
15,30,30,1.471698e+04
15,30,40,8.305603e+03
15,30,50,4.179710e+03
15,30,60,3.396277e+03
15,30,70,3.290480e+03
15,30,80,2.217281e+03
15,30,90,2.047890e+03
15,30,100,2.017719e+03
15,30,1,2.511117e+07
15,30,2,1.177806e+06
15,30,3,9.176903e+04
15,30,5,1.912657e+04
15,30,10,1.472864e+04
15,30,20,1.471719e+04
15,30,30,1.471698e+04
15,30,40,8.305603e+03
15,30,50,4.179710e+03
15,30,60,3.396277e+03
15,30,70,3.290480e+03
15,30,80,2.217281e+03
15,30,90,2.047890e+03
15,30,100,2.017719e+03
