funcid,dim,milestone,error
19,10,1,6.691900e+03
19,10,2,2.859499e+02
19,10,3,2.859499e+02
19,10,5,2.858923e+02
19,10,10,2.858915e+02
19,10,20,2.858910e+02
19,10,30,2.858889e+02
19,10,40,2.858864e+02
19,10,50,2.858849e+02
19,10,60,2.858812e+02
19,10,70,5.550765e+01
19,10,80,4.382183e+01
19,10,90,2.896347e+01
19,10,100,2.896033e+01
19,10,1,6.691900e+03
19,10,2,2.859499e+02
19,10,3,2.859499e+02
19,10,5,2.858923e+02
19,10,10,2.858915e+02
19,10,20,2.858910e+02
19,10,30,2.858889e+02
19,10,40,2.858864e+02
19,10,50,2.858849e+02
19,10,60,2.858812e+02
19,10,70,5.550765e+01
19,10,80,4.382183e+01
19,10,90,2.896347e+01
19,10,100,2.896033e+01
19,10,1,6.691900e+03
19,10,2,2.859499e+02
19,10,3,2.859499e+02
19,10,5,2.858923e+02
19,10,10,2.858915e+02
19,10,20,2.858910e+02
19,10,30,2.858889e+02
19,10,40,2.858864e+02
19,10,50,2.858849e+02
19,10,60,2.858812e+02
19,10,70,5.550765e+01
19,10,80,4.382183e+01
19,10,90,2.896347e+01
19,10,100,2.896033e+01
19,10,1,6.691900e+03
19,10,2,2.859499e+02
19,10,3,2.859499e+02
19,10,5,2.858923e+02
19,10,10,2.858915e+02
19,10,20,2.858910e+02
19,10,30,2.858889e+02
19,10,40,2.858864e+02
19,10,50,2.858849e+02
19,10,60,2.858812e+02
19,10,70,5.550765e+01
19,10,80,4.382183e+01
19,10,90,2.896347e+01
19,10,100,2.896033e+01
19,10,1,6.691900e+03
19,10,2,2.859499e+02
19,10,3,2.859499e+02
19,10,5,2.858923e+02
19,10,10,2.858915e+02
19,10,20,2.858910e+02
19,10,30,2.858889e+02
19,10,40,2.858864e+02
19,10,50,2.858849e+02
19,10,60,2.858812e+02
19,10,70,5.550765e+01
19,10,80,4.382183e+01
19,10,90,2.896347e+01
19,10,100,2.896033e+01
19,10,1,6.691900e+03
19,10,2,2.859499e+02
19,10,3,2.859499e+02
19,10,5,2.858923e+02
19,10,10,2.858915e+02
19,10,20,2.858910e+02
19,10,30,2.858889e+02
19,10,40,2.858864e+02
19,10,50,2.858849e+02
19,10,60,2.858812e+02
19,10,70,5.550765e+01
19,10,80,4.382183e+01
19,10,90,2.896347e+01
19,10,100,2.896033e+01
19,10,1,6.691900e+03
19,10,2,2.859499e+02
19,10,3,2.859499e+02
19,10,5,2.858923e+02
19,10,10,2.858915e+02
19,10,20,2.858910e+02
19,10,30,2.858889e+02
19,10,40,2.858864e+02
19,10,50,2.858849e+02
19,10,60,2.858812e+02
19,10,70,5.550765e+01
19,10,80,4.382183e+01
19,10,90,2.896347e+01
19,10,100,2.896033e+01
19,10,1,6.691900e+03
19,10,2,2.859499e+02
19,10,3,2.859499e+02
19,10,5,2.858923e+02
19,10,10,2.858915e+02
19,10,20,2.858910e+02
19,10,30,2.858889e+02
19,10,40,2.858864e+02
19,10,50,2.858849e+02
19,10,60,2.858812e+02
19,10,70,5.550765e+01
19,10,80,4.382183e+01
19,10,90,2.896347e+01
19,10,100,2.896033e+01
19,10,1,6.691900e+03
19,10,2,2.859499e+02
19,10,3,2.859499e+02
19,10,5,2.858923e+02
19,10,10,2.858915e+02
19,10,20,2.858910e+02
19,10,30,2.858889e+02
19,10,40,2.858864e+02
19,10,50,2.858849e+02
19,10,60,2.858812e+02
19,10,70,5.550765e+01
19,10,80,4.382183e+01
19,10,90,2.896347e+01
19,10,100,2.896033e+01
19,10,1,6.691900e+03
19,10,2,2.859499e+02
19,10,3,2.859499e+02
19,10,5,2.858923e+02
19,10,10,2.858915e+02
19,10,20,2.858910e+02
19,10,30,2.858889e+02
19,10,40,2.858864e+02
19,10,50,2.858849e+02
19,10,60,2.858812e+02
19,10,70,5.550765e+01
19,10,80,4.382183e+01
19,10,90,2.896347e+01
19,10,100,2.896033e+01
19,10,1,6.691900e+03
19,10,2,2.859499e+02
19,10,3,2.859499e+02
19,10,5,2.858877e+02
19,10,10,2.858871e+02
19,10,20,2.858867e+02
19,10,30,2.858853e+02
19,10,40,2.858844e+02
19,10,50,2.858842e+02
19,10,60,2.858828e+02
19,10,70,2.858822e+02
19,10,80,2.161101e+02
19,10,90,5.577672e+01
19,10,100,5.438904e+01
19,10,1,6.691900e+03
19,10,2,2.859499e+02
19,10,3,2.859499e+02
19,10,5,2.858877e+02
19,10,10,2.858871e+02
19,10,20,2.858867e+02
19,10,30,2.858853e+02
19,10,40,2.858844e+02
19,10,50,2.858842e+02
19,10,60,2.858828e+02
19,10,70,2.858822e+02
19,10,80,2.161101e+02
19,10,90,5.577672e+01
19,10,100,5.438904e+01
19,10,1,6.691900e+03
19,10,2,2.859499e+02
19,10,3,2.859499e+02
19,10,5,2.858877e+02
19,10,10,2.858871e+02
19,10,20,2.858867e+02
19,10,30,2.858853e+02
19,10,40,2.858844e+02
19,10,50,2.858842e+02
19,10,60,2.858828e+02
19,10,70,2.858822e+02
19,10,80,2.161101e+02
19,10,90,5.577672e+01
19,10,100,5.438904e+01
19,10,1,6.691900e+03
19,10,2,2.859499e+02
19,10,3,2.859499e+02
19,10,5,2.858877e+02
19,10,10,2.858871e+02
19,10,20,2.858867e+02
19,10,30,2.858853e+02
19,10,40,2.858844e+02
19,10,50,2.858842e+02
19,10,60,2.858828e+02
19,10,70,2.858822e+02
19,10,80,2.161101e+02
19,10,90,5.577672e+01
19,10,100,5.438904e+01
19,10,1,6.691900e+03
19,10,2,2.859499e+02
19,10,3,2.859499e+02
19,10,5,2.858877e+02
19,10,10,2.858871e+02
19,10,20,2.858867e+02
19,10,30,2.858853e+02
19,10,40,2.858844e+02
19,10,50,2.858842e+02
19,10,60,2.858828e+02
19,10,70,2.858822e+02
19,10,80,2.161101e+02
19,10,90,5.577672e+01
19,10,100,5.438904e+01
19,10,1,6.691900e+03
19,10,2,2.859499e+02
19,10,3,2.859499e+02
19,10,5,2.858877e+02
19,10,10,2.858871e+02
19,10,20,2.858867e+02
19,10,30,2.858853e+02
19,10,40,2.858844e+02
19,10,50,2.858842e+02
19,10,60,2.858828e+02
19,10,70,2.858822e+02
19,10,80,2.161101e+02
19,10,90,5.577672e+01
19,10,100,5.438904e+01
19,10,1,6.691900e+03
19,10,2,2.859499e+02
19,10,3,2.859499e+02
19,10,5,2.858877e+02
19,10,10,2.858871e+02
19,10,20,2.858867e+02
19,10,30,2.858853e+02
19,10,40,2.858844e+02
19,10,50,2.858842e+02
19,10,60,2.858828e+02
19,10,70,2.858822e+02
19,10,80,2.161101e+02
19,10,90,5.577672e+01
19,10,100,5.438904e+01
19,10,1,6.691900e+03
19,10,2,2.859499e+02
19,10,3,2.859499e+02
19,10,5,2.858877e+02
19,10,10,2.858871e+02
19,10,20,2.858867e+02
19,10,30,2.858853e+02
19,10,40,2.858844e+02
19,10,50,2.858842e+02
19,10,60,2.858828e+02
19,10,70,2.858822e+02
19,10,80,2.161101e+02
19,10,90,5.577672e+01
19,10,100,5.438904e+01
19,10,1,6.691900e+03
19,10,2,2.859499e+02
19,10,3,2.859499e+02
19,10,5,2.858877e+02
19,10,10,2.858871e+02
19,10,20,2.858867e+02
19,10,30,2.858853e+02
19,10,40,2.858844e+02
19,10,50,2.858842e+02
19,10,60,2.858828e+02
19,10,70,2.858822e+02
19,10,80,2.161101e+02
19,10,90,5.577672e+01
19,10,100,5.438904e+01
19,10,1,6.691900e+03
19,10,2,2.859499e+02
19,10,3,2.859499e+02
19,10,5,2.858877e+02
19,10,10,2.858871e+02
19,10,20,2.858867e+02
19,10,30,2.858853e+02
19,10,40,2.858844e+02
19,10,50,2.858842e+02
19,10,60,2.858828e+02
19,10,70,2.858822e+02
19,10,80,2.161101e+02
19,10,90,5.577672e+01
19,10,100,5.438904e+01
19,10,1,6.691900e+03
19,10,2,2.859499e+02
19,10,3,2.859499e+02
19,10,5,2.858877e+02
19,10,10,2.858871e+02
19,10,20,2.858867e+02
19,10,30,2.858853e+02
19,10,40,2.858844e+02
19,10,50,2.858842e+02
19,10,60,2.858828e+02
19,10,70,2.858822e+02
19,10,80,2.161101e+02
19,10,90,5.577672e+01
19,10,100,5.438904e+01
19,10,1,6.691900e+03
19,10,2,2.859499e+02
19,10,3,2.859499e+02
19,10,5,2.858877e+02
19,10,10,2.858871e+02
19,10,20,2.858867e+02
19,10,30,2.858853e+02
19,10,40,2.858844e+02
19,10,50,2.858842e+02
19,10,60,2.858828e+02
19,10,70,2.858822e+02
19,10,80,2.161101e+02
19,10,90,5.577672e+01
19,10,100,5.438904e+01
19,10,1,6.691900e+03
19,10,2,2.859499e+02
19,10,3,2.859499e+02
19,10,5,2.858877e+02
19,10,10,2.858871e+02
19,10,20,2.858867e+02
19,10,30,2.858853e+02
19,10,40,2.858844e+02
19,10,50,2.858842e+02
19,10,60,2.858828e+02
19,10,70,2.858822e+02
19,10,80,2.161101e+02
19,10,90,5.577672e+01
19,10,100,5.438904e+01
19,10,1,6.691900e+03
19,10,2,2.859499e+02
19,10,3,2.859499e+02
19,10,5,2.858877e+02
19,10,10,2.858871e+02
19,10,20,2.858867e+02
19,10,30,2.858853e+02
19,10,40,2.858844e+02
19,10,50,2.858842e+02
19,10,60,2.858828e+02
19,10,70,2.858822e+02
19,10,80,2.161101e+02
19,10,90,5.577672e+01
19,10,100,5.438904e+01
19,10,1,6.691900e+03
19,10,2,2.859499e+02
19,10,3,2.859499e+02
19,10,5,2.858877e+02
19,10,10,2.858871e+02
19,10,20,2.858867e+02
19,10,30,2.858853e+02
19,10,40,2.858844e+02
19,10,50,2.858842e+02
19,10,60,2.858828e+02
19,10,70,2.858822e+02
19,10,80,2.161101e+02
19,10,90,5.577672e+01
19,10,100,5.438904e+01
19,10,1,6.691900e+03
19,10,2,2.859499e+02
19,10,3,2.859499e+02
19,10,5,2.858877e+02
19,10,10,2.858871e+02
19,10,20,2.858867e+02
19,10,30,2.858853e+02
19,10,40,2.858844e+02
19,10,50,2.858842e+02
19,10,60,2.858828e+02
19,10,70,2.858822e+02
19,10,80,2.161101e+02
19,10,90,5.577672e+01
19,10,100,5.438904e+01
19,10,1,6.691900e+03
19,10,2,2.859499e+02
19,10,3,2.859499e+02
19,10,5,2.858877e+02
19,10,10,2.858871e+02
19,10,20,2.858867e+02
19,10,30,2.858853e+02
19,10,40,2.858844e+02
19,10,50,2.858842e+02
19,10,60,2.858828e+02
19,10,70,2.858822e+02
19,10,80,2.161101e+02
19,10,90,5.577672e+01
19,10,100,5.438904e+01
19,10,1,6.691900e+03
19,10,2,2.859499e+02
19,10,3,2.859499e+02
19,10,5,2.858877e+02
19,10,10,2.858871e+02
19,10,20,2.858867e+02
19,10,30,2.858853e+02
19,10,40,2.858844e+02
19,10,50,2.858842e+02
19,10,60,2.858828e+02
19,10,70,2.858822e+02
19,10,80,2.161101e+02
19,10,90,5.577672e+01
19,10,100,5.438904e+01
