funcid,dim,milestone,error
26,10,1,7.221169e+02
26,10,2,7.221169e+02
26,10,3,6.940073e+02
26,10,5,6.807889e+02
26,10,10,4.464691e+02
26,10,20,3.520929e+02
26,10,30,3.225169e+02
26,10,40,3.005513e+02
26,10,50,3.000190e+02
26,10,60,3.000007e+02
26,10,70,3.000001e+02
26,10,80,2.000582e+02
26,10,90,2.000020e+02
26,10,100,2.000004e+02
26,10,1,7.221169e+02
26,10,2,7.221169e+02
26,10,3,6.940073e+02
26,10,5,6.807889e+02
26,10,10,4.464691e+02
26,10,20,3.520929e+02
26,10,30,3.225169e+02
26,10,40,3.005513e+02
26,10,50,3.000190e+02
26,10,60,3.000007e+02
26,10,70,3.000001e+02
26,10,80,2.000582e+02
26,10,90,2.000020e+02
26,10,100,2.000004e+02
26,10,1,7.221169e+02
26,10,2,7.221169e+02
26,10,3,6.940073e+02
26,10,5,6.807889e+02
26,10,10,4.464691e+02
26,10,20,3.520929e+02
26,10,30,3.225169e+02
26,10,40,3.005513e+02
26,10,50,3.000190e+02
26,10,60,3.000007e+02
26,10,70,3.000001e+02
26,10,80,2.000582e+02
26,10,90,2.000020e+02
26,10,100,2.000004e+02
26,10,1,7.221169e+02
26,10,2,7.221169e+02
26,10,3,6.940073e+02
26,10,5,6.807889e+02
26,10,10,4.464691e+02
26,10,20,3.520929e+02
26,10,30,3.225169e+02
26,10,40,3.005513e+02
26,10,50,3.000190e+02
26,10,60,3.000007e+02
26,10,70,3.000001e+02
26,10,80,2.000582e+02
26,10,90,2.000020e+02
26,10,100,2.000004e+02
26,10,1,7.221169e+02
26,10,2,7.221169e+02
26,10,3,6.940073e+02
26,10,5,6.807889e+02
26,10,10,4.464691e+02
26,10,20,3.520929e+02
26,10,30,3.225169e+02
26,10,40,3.005513e+02
26,10,50,3.000190e+02
26,10,60,3.000007e+02
26,10,70,3.000001e+02
26,10,80,2.000582e+02
26,10,90,2.000020e+02
26,10,100,2.000004e+02
26,10,1,7.221169e+02
26,10,2,7.221169e+02
26,10,3,6.940073e+02
26,10,5,6.807889e+02
26,10,10,4.464691e+02
26,10,20,3.520929e+02
26,10,30,3.225169e+02
26,10,40,3.005513e+02
26,10,50,3.000190e+02
26,10,60,3.000007e+02
26,10,70,3.000001e+02
26,10,80,2.000582e+02
26,10,90,2.000020e+02
26,10,100,2.000004e+02
26,10,1,7.221169e+02
26,10,2,7.221169e+02
26,10,3,6.940073e+02
26,10,5,6.807889e+02
26,10,10,4.464691e+02
26,10,20,3.520929e+02
26,10,30,3.225169e+02
26,10,40,3.005513e+02
26,10,50,3.000190e+02
26,10,60,3.000007e+02
26,10,70,3.000001e+02
26,10,80,2.000582e+02
26,10,90,2.000020e+02
26,10,100,2.000004e+02
26,10,1,7.221169e+02
26,10,2,7.221169e+02
26,10,3,6.940073e+02
26,10,5,6.807889e+02
26,10,10,4.464691e+02
26,10,20,3.520929e+02
26,10,30,3.225169e+02
26,10,40,3.005513e+02
26,10,50,3.000190e+02
26,10,60,3.000007e+02
26,10,70,3.000001e+02
26,10,80,2.000582e+02
26,10,90,2.000020e+02
26,10,100,2.000004e+02
26,10,1,7.221169e+02
26,10,2,7.221169e+02
26,10,3,6.940073e+02
26,10,5,6.807889e+02
26,10,10,4.464691e+02
26,10,20,3.520929e+02
26,10,30,3.225169e+02
26,10,40,3.005513e+02
26,10,50,3.000190e+02
26,10,60,3.000007e+02
26,10,70,3.000001e+02
26,10,80,2.000582e+02
26,10,90,2.000020e+02
26,10,100,2.000004e+02
26,10,1,7.221169e+02
26,10,2,7.221169e+02
26,10,3,6.940073e+02
26,10,5,6.807889e+02
26,10,10,4.464691e+02
26,10,20,3.520929e+02
26,10,30,3.225169e+02
26,10,40,3.005513e+02
26,10,50,3.000190e+02
26,10,60,3.000007e+02
26,10,70,3.000001e+02
26,10,80,2.000582e+02
26,10,90,2.000020e+02
26,10,100,2.000004e+02
26,10,1,7.221169e+02
26,10,2,7.221169e+02
26,10,3,6.820029e+02
26,10,5,6.820029e+02
26,10,10,4.064714e+02
26,10,20,3.532273e+02
26,10,30,3.513858e+02
26,10,40,3.490152e+02
26,10,50,3.075174e+02
26,10,60,2.177268e+02
26,10,70,2.155938e+02
26,10,80,2.155626e+02
26,10,90,2.000509e+02
