funcid,dim,milestone,error
9,30,1,1.285067e+04
9,30,2,7.887297e+03
9,30,3,7.211752e+03
9,30,5,7.026373e+03
9,30,10,6.959127e+03
9,30,20,6.955191e+03
9,30,30,6.953416e+03
9,30,40,6.950968e+03
9,30,50,6.947537e+03
9,30,60,6.943501e+03
9,30,70,6.939362e+03
9,30,80,6.936070e+03
9,30,90,6.933455e+03
9,30,100,6.931634e+03
9,30,1,1.285067e+04
9,30,2,7.887297e+03
9,30,3,7.211752e+03
9,30,5,7.026373e+03
9,30,10,6.959127e+03
9,30,20,6.955191e+03
9,30,30,6.953416e+03
9,30,40,6.950968e+03
9,30,50,6.947537e+03
9,30,60,6.943501e+03
9,30,70,6.939362e+03
9,30,80,6.936070e+03
9,30,90,6.933455e+03
9,30,100,6.931634e+03
