funcid,dim,milestone,error
6,10,1,6.593275e+01
6,10,2,6.416207e+01
6,10,3,6.405275e+01
6,10,5,6.128223e+01
6,10,10,5.861650e+01
6,10,20,5.847532e+01
6,10,30,5.840180e+01
6,10,40,5.834515e+01
6,10,50,5.826973e+01
6,10,60,5.822116e+01
6,10,70,4.490064e+01
6,10,80,3.852460e+01
6,10,90,3.381493e+01
6,10,100,2.967852e+01
6,10,1,6.593275e+01
6,10,2,6.416207e+01
6,10,3,6.405275e+01
6,10,5,6.128223e+01
6,10,10,5.861650e+01
6,10,20,5.847532e+01
6,10,30,5.840180e+01
6,10,40,5.834515e+01
6,10,50,5.826973e+01
6,10,60,5.822116e+01
6,10,70,4.490064e+01
6,10,80,3.852460e+01
6,10,90,3.381493e+01
6,10,100,2.967852e+01
6,10,1,6.593275e+01
6,10,2,6.416207e+01
6,10,3,6.405275e+01
6,10,5,6.128223e+01
6,10,10,5.861650e+01
6,10,20,5.847532e+01
6,10,30,5.840180e+01
6,10,40,5.834515e+01
6,10,50,5.826973e+01
6,10,60,5.822116e+01
6,10,70,4.490064e+01
6,10,80,3.852460e+01
6,10,90,3.381493e+01
6,10,100,2.967852e+01
6,10,1,6.593275e+01
6,10,2,6.416207e+01
6,10,3,6.405275e+01
6,10,5,6.128223e+01
6,10,10,5.861650e+01
6,10,20,5.847532e+01
6,10,30,5.840180e+01
6,10,40,5.834515e+01
6,10,50,5.826973e+01
6,10,60,5.822116e+01
6,10,70,4.490064e+01
6,10,80,3.852460e+01
6,10,90,3.381493e+01
6,10,100,2.967852e+01
6,10,1,6.593275e+01
6,10,2,6.416207e+01
6,10,3,6.405275e+01
6,10,5,6.128223e+01
6,10,10,5.861650e+01
6,10,20,5.847532e+01
6,10,30,5.840180e+01
6,10,40,5.834515e+01
6,10,50,5.826973e+01
6,10,60,5.822116e+01
6,10,70,4.490064e+01
6,10,80,3.852460e+01
6,10,90,3.381493e+01
6,10,100,2.967852e+01
6,10,1,6.593275e+01
6,10,2,6.416207e+01
6,10,3,6.405275e+01
6,10,5,6.128223e+01
6,10,10,5.861650e+01
6,10,20,5.847532e+01
6,10,30,5.840180e+01
