funcid,dim,milestone,error
5,30,1,3.971853e+02
5,30,2,3.706256e+02
5,30,3,3.410736e+02
5,30,5,3.172068e+02
5,30,10,2.975418e+02
5,30,20,2.945292e+02
5,30,30,2.412021e+02
5,30,40,2.149116e+02
5,30,50,2.149094e+02
5,30,60,2.149094e+02
5,30,70,2.149094e+02
5,30,80,2.149094e+02
5,30,90,2.149094e+02
5,30,100,2.149094e+02
5,30,1,3.971853e+02
5,30,2,3.706256e+02
5,30,3,3.410736e+02
5,30,5,3.172068e+02
5,30,10,2.975418e+02
5,30,20,2.945292e+02
5,30,30,2.412021e+02
5,30,40,2.149116e+02
5,30,50,2.149094e+02
5,30,60,2.149094e+02
5,30,70,2.149094e+02
5,30,80,2.149094e+02
5,30,90,2.149094e+02
5,30,100,2.149094e+02
5,30,1,3.971853e+02
5,30,2,3.706256e+02
5,30,3,3.410736e+02
5,30,5,3.172068e+02
5,30,10,2.975418e+02
5,30,20,2.945292e+02
5,30,30,2.412021e+02
5,30,40,2.149116e+02
5,30,50,2.149094e+02
5,30,60,2.149094e+02
5,30,70,2.149094e+02
5,30,80,2.149094e+02
5,30,90,2.149094e+02
5,30,100,2.149094e+02
5,30,1,3.971853e+02
5,30,2,3.706256e+02
5,30,3,3.410736e+02
5,30,5,3.172068e+02
5,30,10,2.975418e+02
5,30,20,2.945292e+02
5,30,30,2.412021e+02
5,30,40,2.149116e+02
5,30,50,2.149094e+02
5,30,60,2.149094e+02
5,30,70,2.149094e+02
5,30,80,2.149094e+02
5,30,90,2.149094e+02
5,30,100,2.149094e+02
5,30,1,3.971853e+02
5,30,2,3.706256e+02
5,30,3,3.410736e+02
5,30,5,3.172068e+02
5,30,10,2.975418e+02
5,30,20,2.945292e+02
5,30,30,2.412021e+02
5,30,40,2.149116e+02
5,30,50,2.149094e+02
5,30,60,2.149094e+02
5,30,70,2.149094e+02
5,30,80,2.149094e+02
5,30,90,2.149094e+02
5,30,100,2.149094e+02
5,30,1,3.971853e+02
5,30,2,3.706256e+02
5,30,3,3.410736e+02
5,30,5,3.172068e+02
5,30,10,2.975418e+02
5,30,20,2.945292e+02
5,30,30,2.412021e+02
5,30,40,2.149116e+02
5,30,50,2.149094e+02
5,30,60,2.149094e+02
5,30,70,2.149094e+02
5,30,80,2.149094e+02
