funcid,dim,milestone,error
13,30,1,8.046687e+07
13,30,2,3.098354e+06
13,30,3,1.365980e+05
13,30,5,5.385432e+04
13,30,10,4.917961e+04
13,30,20,4.917504e+04
13,30,30,4.917158e+04
13,30,40,4.916843e+04
13,30,50,4.916526e+04
13,30,60,4.916077e+04
13,30,70,4.913561e+04
13,30,80,4.907485e+04
13,30,90,4.901586e+04
13,30,1,8.046687e+07
13,30,2,3.098354e+06
13,30,3,1.365980e+05
13,30,5,5.385432e+04
13,30,10,4.917961e+04
13,30,20,4.917504e+04
13,30,30,4.917158e+04
13,30,40,4.916843e+04
13,30,50,4.916526e+04
13,30,60,4.916077e+04
13,30,70,4.913561e+04
13,30,80,4.907485e+04
13,30,90,4.901586e+04
13,30,1,8.046687e+07
13,30,2,3.098354e+06
13,30,3,1.365980e+05
13,30,5,5.385432e+04
13,30,10,4.917961e+04
13,30,20,4.917504e+04
13,30,30,4.917158e+04
13,30,40,4.916843e+04
13,30,50,4.916526e+04
13,30,60,4.916077e+04
13,30,70,4.913561e+04
13,30,80,4.907485e+04
13,30,90,4.901586e+04
13,30,1,8.046687e+07
13,30,2,3.098354e+06
13,30,3,1.365980e+05
13,30,5,5.385432e+04
13,30,10,4.917961e+04
13,30,20,4.917504e+04
13,30,30,4.917158e+04
13,30,40,4.916843e+04
13,30,50,4.916526e+04
13,30,60,4.916077e+04
13,30,70,4.913561e+04
13,30,80,4.907485e+04
13,30,90,4.901586e+04
13,30,1,8.046687e+07
13,30,2,3.098354e+06
13,30,3,1.365980e+05
13,30,5,5.385432e+04
13,30,10,4.917961e+04
13,30,20,4.917504e+04
13,30,30,4.917158e+04
13,30,40,4.916843e+04
13,30,50,4.916526e+04
13,30,60,4.916077e+04
13,30,70,4.913561e+04
13,30,80,4.907485e+04
13,30,90,4.901586e+04
13,30,1,8.046687e+07
13,30,2,3.098354e+06
13,30,3,1.365980e+05
13,30,5,5.385432e+04
13,30,10,4.917961e+04
13,30,20,4.917504e+04
13,30,30,4.917158e+04
13,30,40,4.916843e+04
13,30,50,4.916526e+04
13,30,60,4.916077e+04
13,30,70,4.913561e+04
13,30,80,4.907485e+04
13,30,90,4.901586e+04
13,30,1,8.046687e+07
13,30,2,3.098354e+06
13,30,3,1.365980e+05
13,30,5,5.385432e+04
13,30,10,4.917961e+04
13,30,20,4.917504e+04
13,30,30,4.917158e+04
13,30,40,4.916843e+04
13,30,50,4.916526e+04
13,30,60,4.916077e+04
13,30,70,4.913561e+04
13,30,80,4.907485e+04
13,30,90,4.901586e+04
