funcid,dim,milestone,error
18,30,1,2.034158e+07
18,30,2,3.971181e+06
18,30,3,1.544350e+06
18,30,5,1.513860e+05
18,30,10,8.153559e+04
18,30,20,7.018561e+04
18,30,30,6.660134e+04
18,30,40,6.498920e+04
18,30,50,6.451461e+04
18,30,60,6.422859e+04
18,30,70,6.397865e+04
18,30,80,6.369296e+04
18,30,90,6.338682e+04
18,30,1,2.034158e+07
18,30,2,3.971181e+06
18,30,3,1.544350e+06
18,30,5,1.513860e+05
18,30,10,8.153559e+04
18,30,20,7.018561e+04
18,30,30,6.660134e+04
18,30,40,6.498920e+04
18,30,50,6.451461e+04
18,30,60,6.422859e+04
18,30,70,6.397865e+04
18,30,80,6.369296e+04
18,30,90,6.338682e+04
18,30,1,2.034158e+07
18,30,2,3.971181e+06
18,30,3,1.544350e+06
18,30,5,1.513860e+05
18,30,10,8.153559e+04
18,30,20,7.018561e+04
18,30,30,6.660134e+04
18,30,40,6.498920e+04
18,30,50,6.451461e+04
18,30,60,6.422859e+04
18,30,70,6.397865e+04
18,30,80,6.369296e+04
18,30,90,6.338682e+04
18,30,1,2.034158e+07
18,30,2,3.971181e+06
18,30,3,1.544350e+06
18,30,5,1.513860e+05
18,30,10,8.153559e+04
18,30,20,7.018561e+04
18,30,30,6.660134e+04
18,30,40,6.498920e+04
18,30,50,6.451461e+04
18,30,60,6.422859e+04
18,30,70,6.397865e+04
18,30,80,6.369296e+04
18,30,90,6.338682e+04
18,30,1,2.034158e+07
18,30,2,3.971181e+06
18,30,3,1.544350e+06
18,30,5,1.513860e+05
18,30,10,8.153559e+04
18,30,20,7.018561e+04
18,30,30,6.660134e+04
18,30,40,6.498920e+04
18,30,50,6.451461e+04
18,30,60,6.422859e+04
18,30,70,6.397865e+04
18,30,80,6.369296e+04
18,30,90,6.338682e+04
18,30,1,2.034158e+07
18,30,2,3.971181e+06
18,30,3,1.544350e+06
18,30,5,1.513860e+05
18,30,10,8.153559e+04
18,30,20,7.018561e+04
18,30,30,6.660134e+04
18,30,40,6.498920e+04
18,30,50,6.451461e+04
18,30,60,6.422859e+04
18,30,70,6.397865e+04
18,30,80,6.369296e+04
18,30,90,6.338682e+04
18,30,1,2.034158e+07
18,30,2,3.971181e+06
18,30,3,1.544350e+06
18,30,5,1.513860e+05
18,30,10,8.153559e+04
18,30,20,7.018561e+04
18,30,30,6.660134e+04
18,30,40,6.498920e+04
18,30,50,6.451461e+04
18,30,60,6.422859e+04
18,30,70,6.397865e+04
18,30,80,6.369296e+04
18,30,90,6.338682e+04
